linha;patrimonio;nome;motivo
710;5939;MONITOR;Campos obrigatórios vazios: Responsável
711;5940;MONITOR;Campos obrigatórios vazios: Responsável
712;5941;MONITOR;Campos obrigatórios vazios: Responsável
713;5942;MONITOR;Campos obrigatórios vazios: Responsável
714;5943;MONITOR;Campos obrigatórios vazios: Responsável
715;5944;MONITOR;Campos obrigatórios vazios: Responsável
716;5945;MONITOR;Campos obrigatórios vazios: Responsável
717;5946;MONITOR;Campos obrigatórios vazios: Responsável
718;5947;MONITOR;Campos obrigatórios vazios: Responsável
719;5948;MONITOR;Campos obrigatórios vazios: Responsável
720;5949;MONITOR;Campos obrigatórios vazios: Responsável
721;5950;PROJETOR;Campos obrigatórios vazios: Responsável
722;5951;PROJETOR;Campos obrigatórios vazios: Responsável
723;5952;PROJETOR;Campos obrigatórios vazios: Responsável
724;5953;PROJETOR;Campos obrigatórios vazios: Responsável
725;5954;PROJETOR;Campos obrigatórios vazios: Responsável
726;5955;PROJETOR;Campos obrigatórios vazios: Responsável
727;5956;PROJETOR;Campos obrigatórios vazios: Responsável
728;5957;PROJETOR;Campos obrigatórios vazios: Responsável
729;5958;PROJETOR;Campos obrigatórios vazios: Responsável
730;5959;PROJETOR;Campos obrigatórios vazios: Responsável
731;5962;NOTEBOOK;Campos obrigatórios vazios: Responsável
732;5964;PROJETOR;Campos obrigatórios vazios: Responsável
733;5965;PROJETOR;Campos obrigatórios vazios: Responsável
734;5970;PROJETOR;Campos obrigatórios vazios: Responsável
735;5971;PC;Campos obrigatórios vazios: Responsável
736;5972;PC;Campos obrigatórios vazios: Responsável
737;5973;PC;Campos obrigatórios vazios: Responsável
738;5974;PC;Campos obrigatórios vazios: Responsável
739;5976;NOTEBOOK;Campos obrigatórios vazios: Responsável
740;5977;CHROMEBOOK;Campos obrigatórios vazios: Responsável
741;5978;CHROMEBOOK;Campos obrigatórios vazios: Responsável
742;5979;CHROMEBOOK;Campos obrigatórios vazios: Responsável
743;5980;CHROMEBOOK;Campos obrigatórios vazios: Responsável
744;5981;CHROMEBOOK;Campos obrigatórios vazios: Responsável
745;5982;CHROMEBOOK;Campos obrigatórios vazios: Responsável
746;5983;PC;Campos obrigatórios vazios: Responsável
747;5985;PROJETOR;Campos obrigatórios vazios: Responsável
748;5986;PC;Campos obrigatórios vazios: Responsável
749;5987;PC;Campos obrigatórios vazios: Responsável
750;5989;PC;Campos obrigatórios vazios: Responsável
751;5990;PC;Campos obrigatórios vazios: Responsável
752;5993;PROJETOR;Campos obrigatórios vazios: Responsável
753;5996;ARMÁRIO;Campos obrigatórios vazios: Marca, Responsável
754;5997;PC;Campos obrigatórios vazios: Responsável
755;5998;ARMÁRIO;Campos obrigatórios vazios: Marca, Responsável
756;5999;PC;Campos obrigatórios vazios: Responsável
757;6101;CHROMEBOOK;Campos obrigatórios vazios: Responsável
758;6102;CHROMEBOOK;Campos obrigatórios vazios: Responsável
759;6103;CHROMEBOOK;Campos obrigatórios vazios: Responsável
760;6104;CHROMEBOOK;Campos obrigatórios vazios: Responsável
761;6105;CHROMEBOOK;Campos obrigatórios vazios: Responsável
762;6106;CHROMEBOOK;Campos obrigatórios vazios: Responsável
763;6107;CHROMEBOOK;Campos obrigatórios vazios: Responsável
764;6108;CHROMEBOOK;Campos obrigatórios vazios: Responsável
765;6109;CHROMEBOOK;Campos obrigatórios vazios: Responsável
766;6110;CHROMEBOOK;Campos obrigatórios vazios: Responsável
767;6111;CHROMEBOOK;Campos obrigatórios vazios: Responsável
768;6112;CHROMEBOOK;Campos obrigatórios vazios: Responsável
769;6113;CHROMEBOOK;Campos obrigatórios vazios: Responsável
770;6114;CHROMEBOOK;Campos obrigatórios vazios: Responsável
771;6115;CHROMEBOOK;Campos obrigatórios vazios: Responsável
772;6116;CHROMEBOOK;Campos obrigatórios vazios: Responsável
773;6117;CHROMEBOOK;Campos obrigatórios vazios: Responsável
774;6118;CHROMEBOOK;Campos obrigatórios vazios: Responsável
775;6119;CHROMEBOOK;Campos obrigatórios vazios: Responsável
776;6120;CHROMEBOOK;Campos obrigatórios vazios: Responsável
777;6121;CHROMEBOOK;Campos obrigatórios vazios: Responsável
778;6122;CHROMEBOOK;Campos obrigatórios vazios: Responsável
779;6123;CHROMEBOOK;Campos obrigatórios vazios: Responsável
780;6124;CHROMEBOOK;Campos obrigatórios vazios: Responsável
781;6125;CHROMEBOOK;Campos obrigatórios vazios: Responsável
782;6126;CHROMEBOOK;Campos obrigatórios vazios: Responsável
783;6127;CHROMEBOOK;Campos obrigatórios vazios: Responsável
784;6128;CHROMEBOOK;Campos obrigatórios vazios: Responsável
785;6129;CHROMEBOOK;Campos obrigatórios vazios: Responsável
786;6130;CHROMEBOOK;Campos obrigatórios vazios: Responsável
787;6131;CHROMEBOOK;Campos obrigatórios vazios: Responsável
788;6132;CHROMEBOOK;Campos obrigatórios vazios: Responsável
789;6133;CHROMEBOOK;Campos obrigatórios vazios: Responsável
790;6134;CHROMEBOOK;Campos obrigatórios vazios: Responsável
791;6135;CHROMEBOOK;Campos obrigatórios vazios: Responsável
792;6136;CHROMEBOOK;Campos obrigatórios vazios: Responsável
793;6137;CHROMEBOOK;Campos obrigatórios vazios: Responsável
794;6138;CHROMEBOOK;Campos obrigatórios vazios: Responsável
795;6139;CHROMEBOOK;Campos obrigatórios vazios: Responsável
796;6140;CHROMEBOOK;Campos obrigatórios vazios: Responsável
797;6141;CHROMEBOOK;Campos obrigatórios vazios: Responsável
798;6142;CHROMEBOOK;Campos obrigatórios vazios: Responsável
799;6143;CHROMEBOOK;Campos obrigatórios vazios: Responsável
800;6144;CHROMEBOOK;Campos obrigatórios vazios: Responsável
801;6145;CHROMEBOOK;Campos obrigatórios vazios: Responsável
802;6146;CHROMEBOOK;Campos obrigatórios vazios: Responsável
803;6147;CHROMEBOOK;Campos obrigatórios vazios: Responsável
804;6148;CHROMEBOOK;Campos obrigatórios vazios: Responsável
805;6149;SWITCH;Campos obrigatórios vazios: Responsável
806;6151;CHROMEBOOK;Campos obrigatórios vazios: Responsável
807;6152;CHROMEBOOK;Campos obrigatórios vazios: Responsável
808;6153;CHROMEBOOK;Campos obrigatórios vazios: Responsável
809;6154;CHROMEBOOK;Campos obrigatórios vazios: Responsável
810;6155;CHROMEBOOK;Campos obrigatórios vazios: Responsável
811;6156;TABLET;Campos obrigatórios vazios: Responsável
812;6157;TABLET;Campos obrigatórios vazios: Responsável
813;6158;TABLET;Campos obrigatórios vazios: Responsável
814;6159;TABLET;Campos obrigatórios vazios: Responsável
815;6160;TABLET;Campos obrigatórios vazios: Responsável
816;6161;TABLET;Campos obrigatórios vazios: Responsável
817;6162;TABLET;Campos obrigatórios vazios: Responsável
818;6163;TABLET;Campos obrigatórios vazios: Responsável
819;6164;TABLET;Campos obrigatórios vazios: Responsável
820;6165;TABLET;Campos obrigatórios vazios: Responsável
821;6166;TV;Campos obrigatórios vazios: Responsável
822;6168;ROTEADOR;Campos obrigatórios vazios: Responsável
823;6169;ROTEADOR;Campos obrigatórios vazios: Responsável
824;6170;ROTEADOR;Campos obrigatórios vazios: Responsável
825;6171;ROTEADOR;Campos obrigatórios vazios: Responsável
826;6172;ROTEADOR;Campos obrigatórios vazios: Responsável
827;6173;ROTEADOR;Campos obrigatórios vazios: Responsável
828;6174;ROTEADOR;Campos obrigatórios vazios: Responsável
829;6175;ROTEADOR;Campos obrigatórios vazios: Responsável
830;6176;ROTEADOR;Campos obrigatórios vazios: Responsável
831;6177;ROTEADOR;Campos obrigatórios vazios: Responsável
832;6178;ROTEADOR;Campos obrigatórios vazios: Responsável
833;6179;ROTEADOR;Campos obrigatórios vazios: Responsável
834;6180;ROTEADOR;Campos obrigatórios vazios: Responsável
835;6181;ROTEADOR;Campos obrigatórios vazios: Responsável
836;6182;ROTEADOR;Campos obrigatórios vazios: Responsável
837;6183;ROTEADOR;Campos obrigatórios vazios: Responsável
838;6184;ROTEADOR;Campos obrigatórios vazios: Responsável
839;6185;ROTEADOR;Campos obrigatórios vazios: Responsável
840;6186;ROTEADOR;Campos obrigatórios vazios: Responsável
841;6187;ROTEADOR;Campos obrigatórios vazios: Responsável
842;6188;ROTEADOR;Campos obrigatórios vazios: Responsável
843;6189;ROTEADOR;Campos obrigatórios vazios: Responsável
844;6190;ROTEADOR;Campos obrigatórios vazios: Responsável
845;6191;ROTEADOR;Campos obrigatórios vazios: Responsável
846;6192;ROTEADOR;Campos obrigatórios vazios: Responsável
847;6193;ROTEADOR;Campos obrigatórios vazios: Responsável
848;6194;ROTEADOR;Campos obrigatórios vazios: Responsável
849;6195;ROTEADOR;Campos obrigatórios vazios: Responsável
850;6196;ROTEADOR;Campos obrigatórios vazios: Responsável
851;6197;ROTEADOR;Campos obrigatórios vazios: Responsável
852;6199;SWITCH POE;Campos obrigatórios vazios: Responsável
853;6200;SWITCH POE;Campos obrigatórios vazios: Responsável
854;6201;SWITCH POE;Campos obrigatórios vazios: Responsável
855;6202;SWITCH POE;Campos obrigatórios vazios: Responsável
856;6203;SWITCH POE;Campos obrigatórios vazios: Responsável
857;6204;SWITCH POE;Campos obrigatórios vazios: Responsável
858;6205;SWITCH;Campos obrigatórios vazios: Responsável
859;6206;SWITCH;Campos obrigatórios vazios: Responsável
860;6207;SWITCH;Campos obrigatórios vazios: Responsável
861;6208;SWITCH;Campos obrigatórios vazios: Responsável
862;6209;SWITCH;Campos obrigatórios vazios: Responsável
863;6210;TABLET;Campos obrigatórios vazios: Responsável
864;6211;TABLET;Campos obrigatórios vazios: Responsável
865;6212;TABLET;Campos obrigatórios vazios: Responsável
866;6213;TABLET;Campos obrigatórios vazios: Responsável
867;6214;TABLET;Campos obrigatórios vazios: Responsável
868;6215;TABLET;Campos obrigatórios vazios: Responsável
869;6216;TABLET;Campos obrigatórios vazios: Responsável
870;6217;TABLET;Campos obrigatórios vazios: Responsável
871;6218;TABLET;Campos obrigatórios vazios: Responsável
872;6219;TABLET;Campos obrigatórios vazios: Responsável
873;6220;SWITCH;Campos obrigatórios vazios: Responsável
874;6234;PC;Campos obrigatórios vazios: Responsável
875;6235;PC;Campos obrigatórios vazios: Responsável
876;6236;PC;Campos obrigatórios vazios: Responsável
877;6237;PC;Campos obrigatórios vazios: Responsável
878;6331;AMPLIFICADOR;Campos obrigatórios vazios: Responsável
879;6332;MONITOR;Campos obrigatórios vazios: Responsável
880;6333;MONITOR;Campos obrigatórios vazios: Responsável
881;6334;AMPLIFICADOR;Campos obrigatórios vazios: Responsável
882;6335;AMPLIFICADOR;Campos obrigatórios vazios: Responsável
883;6469;MONITOR;Campos obrigatórios vazios: Responsável
884;6470;MONITOR;Campos obrigatórios vazios: Responsável
885;6471;MONITOR;Campos obrigatórios vazios: Responsável
886;6473;PROJETOR;Campos obrigatórios vazios: Responsável
887;6474;PROJETOR;Campos obrigatórios vazios: Responsável
888;6475;MONITOR;Campos obrigatórios vazios: Responsável
889;6476;MONITOR;Campos obrigatórios vazios: Responsável
890;6477;MONITOR;Campos obrigatórios vazios: Responsável
891;6517;MONITOR;Campos obrigatórios vazios: Responsável
892;6518;PROJETOR;Campos obrigatórios vazios: Responsável
893;6519;PROJETOR;Campos obrigatórios vazios: Responsável
894;6544;PC;Campos obrigatórios vazios: Responsável
895;6545;PC;Campos obrigatórios vazios: Responsável
896;6547;PROJETOR;Campos obrigatórios vazios: Responsável
897;6548;PC;Campos obrigatórios vazios: Responsável
898;6549;PC;Campos obrigatórios vazios: Responsável
899;6550;PC;Campos obrigatórios vazios: Responsável
900;6551;TV;Campos obrigatórios vazios: Responsável
901;6558;DVR;Campos obrigatórios vazios: Marca, Responsável
902;6559;DVR;Campos obrigatórios vazios: Marca, Responsável
903;6560;SWITCH POE;Campos obrigatórios vazios: Responsável
904;6561;MONITOR;Campos obrigatórios vazios: Responsável
905;6562;MONITOR;Campos obrigatórios vazios: Responsável
906;6564;SWITCH POE;Campos obrigatórios vazios: Responsável
907;6565;SWITCH POE;Campos obrigatórios vazios: Responsável
908;6566;SWITCH POE;Campos obrigatórios vazios: Responsável
909;6569;DVR;Campos obrigatórios vazios: Marca, Responsável
910;6570;ROTEADOR;Campos obrigatórios vazios: Responsável
911;6572;NOTEBOOK;Campos obrigatórios vazios: Responsável
912;6573;NOTEBOOK;Campos obrigatórios vazios: Responsável
913;6574;NOTEBOOK;Campos obrigatórios vazios: Responsável
914;6575;NOTEBOOK;Campos obrigatórios vazios: Responsável
915;6576;NOTEBOOK;Campos obrigatórios vazios: Responsável
916;6577;ROTEADOR;Campos obrigatórios vazios: Responsável
917;6578;MONITOR;Campos obrigatórios vazios: Responsável
918;6579;MONITOR;Campos obrigatórios vazios: Responsável
919;6580;PROJETOR;Campos obrigatórios vazios: Responsável
920;6581;PC;Campos obrigatórios vazios: Responsável
921;6582;PC;Campos obrigatórios vazios: Responsável
922;6583;PC;Campos obrigatórios vazios: Responsável
923;6584;PC;Campos obrigatórios vazios: Responsável
924;6586;PROJETOR;Campos obrigatórios vazios: Responsável
925;6587;PROJETOR;Campos obrigatórios vazios: Responsável
926;6588;PC;Campos obrigatórios vazios: Responsável
927;6589;PC;Campos obrigatórios vazios: Responsável
928;6590;PC;Campos obrigatórios vazios: Responsável
929;6591;TV;Campos obrigatórios vazios: Responsável
930;6593;SWITCH POE;Campos obrigatórios vazios: Responsável
931;6594;MONITOR;Campos obrigatórios vazios: Responsável
932;6595;PROJETOR;Campos obrigatórios vazios: Responsável
933;6597;MONITOR;Campos obrigatórios vazios: Responsável
934;6598;PROJETOR;Campos obrigatórios vazios: Responsável
935;6601;ROTEADOR;Campos obrigatórios vazios: Responsável
936;6602;ROTEADOR;Campos obrigatórios vazios: Responsável
937;6603;ROTEADOR;Campos obrigatórios vazios: Responsável
938;6604;ROTEADOR;Campos obrigatórios vazios: Responsável
939;6605;ROTEADOR;Campos obrigatórios vazios: Responsável
940;6606;ROTEADOR;Campos obrigatórios vazios: Responsável
941;6607;ROTEADOR;Campos obrigatórios vazios: Responsável
942;6608;ROTEADOR;Campos obrigatórios vazios: Responsável
943;6609;ROTEADOR;Campos obrigatórios vazios: Responsável
944;6610;ROTEADOR;Campos obrigatórios vazios: Responsável
945;6611;ROTEADOR;Campos obrigatórios vazios: Responsável
946;6612;ROTEADOR;Campos obrigatórios vazios: Responsável
